fiscal_year,SubCustomer,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2003,DLA,Medium,0,0,1,28,29,32,1362585.8612855808
2003,DLA,Medium,0,1,1,399,425,7166,2479715557.931311
2003,DLA,Medium,1,0,1,7,7,7,279981.2909260992
2003,DLA,Medium,1,1,1,161,161,2075,1491009175.9989312
2003,DLA,Medium,NULL,0,0,12,12,0,0
2003,DLA,Medium,NULL,1,1,3,3,0,0
2003,DLA,NULL,NULL,NULL,NULL,5,5,31,11245110.249899773
2003,MDA,Small,0,0,1,2,2,2,39250.30068154484
2003,MDA,Small,0,1,1,136,136,379,270634772.15020716
2003,MDA,Large+,0,1,1,17,17,497,3283680635.4403315
2003,MDA,Medium,0,1,1,3,3,10,7427017.239075238
2003,MDA,Medium,1,1,1,2,2,8,8303993.050915409
2003,MilitaryHealth,Small,0,1,1,7,7,20,-168828.0101563544
2003,MilitaryHealth,Large+,0,0,0,1,1,1,-35393.558733128426
2003,MilitaryHealth,Large+,0,1,1,10,10,374,5870137372.711479
2003,MilitaryHealth,Medium,0,0,0,1,1,1,0
2003,MilitaryHealth,Medium,0,1,1,10,10,231,1992565525.858613
2003,Navy,Small,0,0,0,623,623,1182,690927.5692903915
2003,Navy,Small,0,0,1,2272,2276,5203,59445834.892422825
2003,Navy,Small,0,1,1,9929,10588,88686,19375562363.624218
2003,Navy,Small,1,0,0,1,1,2,0
2003,Navy,Small,1,1,1,10,10,366,41140676.19938528
2003,Navy,Small,NULL,0,0,24,24,1,3097.6880930108246
2003,Navy,Small,NULL,0,1,2,2,2,17773.620205799813
2003,Navy,Small,NULL,1,1,2,2,1,23553.387678738476
2003,Navy,Large+,0,0,0,1,1,2,102329.27970065482
2003,Navy,Large+,0,0,1,2,10,34,3054715.7289857008
2003,Navy,Large+,0,1,1,202,256,45215,51620526743.68569
2003,Navy,Large+,1,1,1,5,6,477,118230547.90859282
2003,Navy,Medium,0,0,0,89,89,172,-674790.992783643
2003,Navy,Medium,0,0,1,209,211,440,5675897.36736603
2003,Navy,Medium,0,1,1,1146,1205,9732,3229678483.2286515
2003,Navy,Medium,1,0,0,71,71,472,281095.8171856208
2003,Navy,Medium,1,0,1,271,273,1393,11707082.72083389
2003,Navy,Medium,1,1,1,1168,1183,12877,1617147529.0658827
2003,Navy,Medium,NULL,0,0,13,13,0,0
2003,Navy,Medium,NULL,0,1,4,4,4,57734.86569557664
2003,Navy,Medium,NULL,1,1,3,3,1,0
2003,Navy,NULL,NULL,NULL,NULL,7,7,66,10802817.051984498
2003,Navy,Unlabeled Vendor,0,0,0,1,1,1,-1210700.25390886
2003,Navy,Unlabeled Vendor,1,1,1,1,1,5,270326.07243084325
2003,NULL,Small,0,1,1,1,1,0,0
2003,Other DoD,Small,0,0,0,60,60,92,-747729.5202458907
2003,Other DoD,Small,0,0,1,179,179,336,4737021.2481625015
2003,Other DoD,Small,0,1,1,1878,1924,8844,4040572673.2593884
2003,Other DoD,Small,1,1,1,1,1,3,250070.82720833892
2003,Other DoD,Large+,0,0,1,1,3,20,2039441.4005078177
2003,Other DoD,Large+,0,1,1,115,122,11541,6794387468.929574
2003,Other DoD,Large+,1,1,1,1,1,33,11874773.486569557
2003,Other DoD,Medium,0,0,0,8,8,10,21384.4714686623
2003,Other DoD,Medium,0,0,1,23,23,29,571679.8075638113
2003,Other DoD,Medium,0,1,1,229,233,868,462266356.27422154
2003,Other DoD,Medium,1,0,0,4,4,5,11881.5982894561
