fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
1990,M,Medium Vendor,PDuns,NULL,1,1,3861,6158,2,10733028964.0000
2013,S,Always Small Vendor,Duns,0,1,1,11,11,21,778623.2000
2010,S,Always Small Vendor,PDuns,1,0,1,216,216,300,3203229.2821
2014,N,Sometimes Small Vendor,PDuns,0,0,0,215,217,1226,914083.8800
2010,M,Medium Vendor,Duns,0,0,1,1,1,1,14835.0000
2001,S,Always Small Vendor,PDuns,1,0,1,26,26,34,777627.0000
2008,U,Unlabeled Vendor,Name,0,1,1,6,1,21,-115807.7780
2006,L,Large Vendor,PDuns,0,0,1,2,41,245,26916752.8148
2002,U,Unlabeled Vendor,Name,0,0,0,11,1,13,321.0000
2007,L,Large Vendor,Duns,0,1,1,1,1,7953,277650106.4179
2016,M,Medium Vendor,PID,1,1,1,73,73,39256,1675088015.9578
2015,L,Large Vendor,PDuns,1,1,1,4,15,178,17922807.6000
2012,L,Large Vendor,PDuns,0,0,1,3,4,10,191861.0498
2005,S,Always Small Vendor,PDuns,NULL,0,1,2150,2151,8748,21615975.1903
2013,S,Always Small Vendor,PID,NULL,0,0,7,7,0,0.0000
2005,S,Always Small Vendor,PDuns,0,0,0,21222,21245,69650,87927647.0330
1998,L,Large Vendor,PDuns,NULL,1,1,62,280,3380,777794162.0000
2002,B,Big Five,PDuns,0,1,1,3,12,110,25291773.0000
2010,M,Medium Vendor,PDuns,1,0,1,1507,1522,3835,22683380.4991
2010,N,Sometimes Small Vendor,PID,0,0,1,14,14,65,299275.0805
2007,S,Always Small Vendor,PID,0,0,1,52,52,139,622742.2609
2005,L,Large Vendor,PID,NULL,1,1,1,1,0,2500000.0000
2007,M,Medium Vendor,PDuns,0,0,0,4255,4270,14400,16788779.9736
2004,S,Always Small Vendor,PID,0,0,0,33,33,84,-254516.8301
2016,M,Medium Vendor,PDuns,0,0,0,1421,1482,11476,335612145.9419
2003,S,Always Small Vendor,Duns,0,0,0,18,3,21,8006.0000
2004,M,Medium Vendor,PID,NULL,0,0,6,6,1,470.4000
2001,N,Sometimes Small Vendor,PID,0,0,1,7,7,34,821638.0000
1998,N,Sometimes Small Vendor,PID,NULL,1,1,429,429,35090,12376941687.0000
2003,L,Large Vendor,PID,1,1,1,17,17,1278,1551015316.9814
2011,S,Always Small Vendor,Name,0,0,1,1,1,1,10000.0000
2004,N,Sometimes Small Vendor,Name,0,1,1,1,1,19,1614809.1500
2002,M,Medium Vendor,PID,1,0,1,1,1,3,54000.0000
1999,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,2352,1504768827.0000
2014,L,Large Vendor,PID,0,0,0,1,1,1,-2005.0000
2012,M,Medium Vendor,PDuns,0,0,1,5089,5158,10894,45669447.3677
2011,S,Always Small Vendor,PID,1,0,1,2,2,2,14696.0000
2010,S,Always Small Vendor,PID,0,0,1,24,24,114,266924.9798
2006,S,Always Small Vendor,PID,0,0,0,27,27,74,72895.6000
2013,N,Sometimes Small Vendor,PID,0,1,1,712,712,184771,39971483211.4900
2008,M,Medium Vendor,PDuns,1,0,1,1596,1599,4931,17028661.0218
2011,M,Medium Vendor,PDuns,NULL,1,1,1263,1293,203,133745023.8894
1993,S,Always Small Vendor,PDuns,NULL,0,1,63,64,9,2303339.0000
2005,U,Unlabeled Vendor,Duns,0,0,1,133,2,291,1618412.4399
2010,M,Medium Vendor,PDuns,NULL,0,1,41,41,2,177956.6402
1992,S,Always Small Vendor,PID,NULL,0,1,2,2,NULL,52132.0000
2002,U,Unlabeled Vendor,Duns,0,0,0,3,2,2,549.7500
2001,S,Always Small Vendor,PID,0,0,1,59,59,125,1452979.0000
2011,J,Large: Big 5 JV,PID,0,1,1,12,12,2507,6658232488.0723
2005,L,Large Vendor,PID,1,1,1,15,15,1584,1391084087.3918
2010,S,Always Small Vendor,PDuns,0,1,1,67562,68241,1239681,52041814411.7453
1996,S,Always Small Vendor,PDuns,NULL,0,1,1271,1277,1387,29448262.0000
2011,S,Always Small Vendor,PDuns,NULL,0,1,202,202,1,788906.9398
2013,M,Medium Vendor,Duns,1,0,0,8,8,9,10219.8900
2004,L,Large Vendor,PID,0,1,1,233,233,309113,110400571063.9734
2014,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1,0,15000.0000
2000,L,Large Vendor,PDuns,1,1,1,2,5,23,3129960.0000
2009,S,Always Small Vendor,PDuns,NULL,1,1,3694,3696,77,195066582.9335
1990,S,Always Small Vendor,PID,NULL,0,0,1,1,NULL,0.0000
2007,S,Always Small Vendor,Duns,1,1,1,23,2,81,1624895.3140
2003,B,Big Five,PDuns,0,0,1,1,1,1,3595.0000
2002,J,Large: Big 5 JV,PID,1,1,1,1,1,17,42250316.0000
2000,M,Medium Vendor,PID,0,1,1,585,585,14336,12211900640.2135
2002,S,Always Small Vendor,PID,NULL,0,0,2,2,1,0.0000
1997,S,Always Small Vendor,PID,NULL,0,0,1,1,1,26195.0000
2015,U,Unlabeled Vendor,Name,1,0,0,1,1,2,5689.3300
2007,M,Medium Vendor,PID,NULL,1,1,12,12,0,51943035.7129
2011,N,Sometimes Small Vendor,PDuns,1,1,1,186,192,5245,442575992.6400
2015,M,Medium Vendor,PDuns,1,0,1,955,954,2365,9515008.4300
2004,S,Always Small Vendor,Name,1,1,1,24,3,27,5600519.2656
2006,S,Always Small Vendor,PDuns,1,0,1,174,174,241,1679800.1287
2013,L,Large Vendor,PID,0,1,1,262,262,9285147,145561181519.2801
2009,L,Large Vendor,PID,1,1,1,19,19,1911,7172654468.2252
2003,N,Sometimes Small Vendor,PDuns,NULL,0,0,21,22,8,3207.3999
2002,N,Sometimes Small Vendor,PDuns,0,0,0,50,54,319,465518.0000
2006,L,Large Vendor,PID,0,0,1,3,3,64,60319.4197
2005,M,Medium Vendor,PID,1,0,1,7,7,23,153977.9898
2016,M,Medium Vendor,PDuns,1,0,1,844,845,4614,5570787.0449
2005,L,Large Vendor,PDuns,0,0,1,7,7,78,18356457.0502
2009,S,Always Small Vendor,Duns,0,1,1,7,2,24,231692.8902
2006,U,Unlabeled Vendor,Name,1,0,0,14,1,24,55507.1195
2007,U,Unlabeled Vendor,Name,1,1,1,7,2,21,1454253.4771
1992,M,Medium Vendor,PID,NULL,1,1,200,200,2,8555095593.0000
2003,S,Always Small Vendor,PDuns,0,0,1,20536,20603,59697,559201710.6651
2000,M,Medium Vendor,PDuns,0,1,1,9592,10303,61970,16414830819.5997
2003,M,Medium Vendor,PID,1,1,1,54,54,1810,1299692595.0390
2003,N,Sometimes Small Vendor,Duns,0,0,1,1,1,5,18345.0000
2004,S,Always Small Vendor,Name,1,0,1,11,1,11,97599.4404
2006,U,Unlabeled Vendor,Duns,1,1,1,13,2,29,755033.7703
2000,S,Always Small Vendor,PID,NULL,0,0,2,2,0,0.0000
2015,L,Large Vendor,PID,0,0,0,1,1,1,0.0000
2002,U,Unlabeled Vendor,Duns,1,1,1,1,1,2,115000.0000
2009,S,Always Small Vendor,PDuns,1,0,0,128,128,166,124895.6502
2016,B,Big Five,PID,0,1,1,6,6,189723,106219509265.5553
2000,M,Medium Vendor,PDuns,1,0,0,47,47,68,-3160983.1300
2010,M,Medium Vendor,Duns,0,1,1,5,5,7,215197.5722
1999,S,Always Small Vendor,PID,NULL,0,0,3,3,4,16820.0000
2006,S,Always Small Vendor,Name,0,0,1,95,3,127,66097.3302
2007,M,Medium Vendor,PDuns,1,0,1,1602,1606,4002,15082138.8798
2002,S,Always Small Vendor,PDuns,1,0,0,11,11,13,-13127.0000
2002,N,Sometimes Small Vendor,Name,0,1,1,1,1,900,323610703.0000
2013,M,Medium Vendor,PDuns,NULL,1,1,1329,1353,695,315712833.1900
2016,N,Sometimes Small Vendor,PDuns,0,1,1,12757,19581,2268656,54294956196.4610
2013,N,Sometimes Small Vendor,PDuns,0,0,1,1678,1776,10218,35874437.2600
2005,S,Always Small Vendor,Duns,0,1,1,56,3,102,3744747.3588
2010,M,Medium Vendor,PDuns,0,0,0,2790,2849,5041,43653289.5969
2010,N,Sometimes Small Vendor,PDuns,NULL,0,0,24,27,0,15300.0000
2016,S,Always Small Vendor,PID,1,1,1,3,3,8,6865994.0000
2003,S,Always Small Vendor,Name,0,0,1,12,2,17,150466.0000
1999,S,Always Small Vendor,PDuns,NULL,0,0,161,161,274,-2036092.0000
2000,L,Large Vendor,PID,1,1,1,12,12,1292,776210013.0000
2013,L,Large Vendor,Duns,0,1,1,1,1,5492,274042050.3300
2009,M,Medium Vendor,Duns,0,0,0,1,1,1,3500.0000
2004,M,Medium Vendor,PDuns,0,1,1,9908,10741,91678,14398141158.3708
2003,S,Always Small Vendor,PID,NULL,0,0,3,3,0,0.0000
2007,J,Large: Big 5 JV,PID,1,1,1,1,1,18,61705756.0000
2012,N,Sometimes Small Vendor,PID,1,0,1,2,2,7,3619.1801
2011,M,Medium Vendor,Duns,0,1,1,4,4,6,-486647.1666
2009,S,Always Small Vendor,Name,0,1,1,3,2,3,278199.9834
1988,L,Large Vendor,PID,NULL,1,1,9,9,NULL,2460000.0000
2000,S,Always Small Vendor,PDuns,0,0,1,7705,7721,16812,239471780.4896
2005,N,Sometimes Small Vendor,PDuns,NULL,0,0,92,92,288,250545.8397
1998,S,Always Small Vendor,PID,NULL,1,1,309,309,3154,1083942324.0000
2005,J,Large: Big 5 JV,PID,1,1,1,1,1,16,45342189.0000
2008,S,Always Small Vendor,PID,1,1,1,1,1,1,-2565.0000
2012,M,Medium Vendor,PID,0,0,0,15,15,43,41163.1222
2010,M,Medium Vendor,PDuns,0,0,1,5668,6092,25163,549351565.8088
2012,S,Always Small Vendor,Duns,0,0,1,6,6,6,36260.5000
2006,N,Sometimes Small Vendor,PDuns,0,0,1,3240,3575,103157,140343682.6590
2007,S,Always Small Vendor,PDuns,1,1,1,447,459,1143,94642482.8976
2010,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,2,0,24000.0000
2012,L,Large Vendor,PDuns,0,0,0,1,4,44,1095064.4744
2013,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2003,L,Large Vendor,PDuns,1,1,1,3,9,84,20156344.0000
2002,B,Big Five,PID,0,1,1,5,5,39414,65622989501.8939
2006,M,Medium Vendor,Duns,0,1,1,1,1,2,1606901.0000
1991,M,Medium Vendor,PDuns,NULL,0,0,24,24,NULL,-2562208.0000
1998,L,Large Vendor,PID,NULL,0,1,1,1,1,29204.0000
1997,L,Large Vendor,PID,NULL,0,0,1,1,1,-39000.0000
2001,S,Always Small Vendor,PDuns,0,1,1,30838,31111,157321,23122305457.5732
2003,S,Always Small Vendor,PDuns,1,1,1,160,160,233,33740559.0000
2011,S,Always Small Vendor,PID,0,0,0,10,10,24,-17840.9601
2009,M,Medium Vendor,PDuns,NULL,0,0,596,599,73,41093187.5459
2002,M,Medium Vendor,PID,0,0,0,12,12,19,-135488.0000
2013,N,Sometimes Small Vendor,PDuns,1,0,1,23,23,73,234137.5000
2008,S,Always Small Vendor,Duns,1,0,0,3,1,3,4655.5000
2014,N,Sometimes Small Vendor,PDuns,0,0,1,1481,1571,9917,36777339.0800
2007,N,Sometimes Small Vendor,PID,0,0,0,5,5,32,22677.4900
2009,N,Sometimes Small Vendor,PDuns,NULL,0,1,4,4,0,48150.0000
2001,L,Large Vendor,PID,0,1,1,214,214,124320,66520560216.4847
2009,N,Sometimes Small Vendor,PDuns,0,0,0,538,558,3443,593120.5003
2015,M,Medium Vendor,PDuns,0,0,0,1666,1678,3735,-39954.9100
1997,B,Big Five,PID,NULL,1,1,6,6,19511,32138431090.0000
2007,U,Unlabeled Vendor,Duns,1,0,0,102,2,126,141491.8699
2015,J,Large: Big 5 JV,PID,0,1,1,13,13,3180,7597832306.1100
2008,B,Big Five,PDuns,0,1,1,5,11,301,14602185.2331
2001,S,Always Small Vendor,Name,0,1,1,1,1,0,0.0000
2013,S,Always Small Vendor,PDuns,1,0,1,101,101,157,690729.8500
1993,M,Medium Vendor,PID,NULL,1,1,212,212,55,8230478085.0000
2014,S,Always Small Vendor,PID,0,0,1,16,16,27,99216.9900
2000,M,Medium Vendor,PID,NULL,1,1,3,3,0,542000.0000
2009,S,Always Small Vendor,PDuns,0,1,1,65488,66207,1227290,48841134128.0287
2016,M,Medium Vendor,PID,0,0,0,8,8,13,-53741.5696
2006,S,Always Small Vendor,Duns,1,0,0,1,1,1,0.0000
2016,S,Always Small Vendor,PDuns,NULL,1,1,5708,5717,188,78961973.4072
2003,L,Large Vendor,Duns,0,1,1,1,1,207,172804548.0000
2007,M,Medium Vendor,PID,1,0,1,1,1,1,11625.3896
2011,B,Big Five,PDuns,0,1,1,7,21,306,22061131.6157
2014,N,Sometimes Small Vendor,PDuns,1,1,1,143,148,2754,269272735.7800
2011,L,Large Vendor,Duns,0,1,1,1,1,7094,283090482.5642
2013,M,Medium Vendor,PID,0,0,1,32,32,63,248332.0000
2004,U,Unlabeled Vendor,Name,0,1,1,37,3,60,3373635.8117
2015,M,Medium Vendor,PDuns,NULL,0,1,33,33,2,71336.5100
2015,N,Sometimes Small Vendor,PDuns,NULL,1,1,56,60,2,2805473.0600
2009,N,Sometimes Small Vendor,PID,0,0,1,16,16,205,454858.2210
2015,N,Sometimes Small Vendor,Duns,0,1,1,2,2,69065,1262256302.0300
2005,N,Sometimes Small Vendor,PID,0,1,1,1056,1056,339209,46837958610.5216
2008,M,Medium Vendor,PDuns,0,1,1,12113,13567,774536,21965845133.6255
2009,U,Unlabeled Vendor,Duns,1,0,1,6,1,8,35110.0000
2000,M,Medium Vendor,PDuns,NULL,1,1,150,154,11,19077950.3321
2012,M,Medium Vendor,PDuns,1,0,1,1313,1315,4556,11493232.3508
2014,N,Sometimes Small Vendor,Duns,0,1,1,3,3,86642,1588489746.2000
2005,N,Sometimes Small Vendor,Duns,0,1,1,17,4,211612,8638549609.7995
2014,L,Large Vendor,PID,0,1,1,255,255,11393416,139131717557.8196
2006,N,Sometimes Small Vendor,Duns,0,0,0,2,1,4,-187.1600
2008,N,Sometimes Small Vendor,PDuns,NULL,1,1,49,54,2,10086319.1206
2001,L,Large Vendor,Duns,1,1,1,1,1,144,124311920.0000
2007,S,Always Small Vendor,Name,0,0,0,6,1,7,8417.4100
2005,N,Sometimes Small Vendor,Name,0,0,0,38,3,141,62768.7803
2012,N,Sometimes Small Vendor,PDuns,NULL,1,1,74,80,4,8028614.2198
2003,S,Always Small Vendor,Name,0,0,0,35,3,45,30199.0000
2007,S,Always Small Vendor,PID,NULL,1,1,6,6,0,0.0000
2012,M,Medium Vendor,PID,1,1,1,170,170,45417,6100068425.2532
2002,S,Always Small Vendor,PDuns,1,0,1,57,57,91,1619620.5298
2000,S,Always Small Vendor,PDuns,1,1,1,218,218,247,28319418.0000
1995,S,Always Small Vendor,PDuns,NULL,0,0,183,183,257,-19383024.0000
2001,M,Medium Vendor,PDuns,0,1,1,9465,10160,62544,14856573545.3206
2005,M,Medium Vendor,PID,1,0,0,2,2,2,4914.0000
1996,NULL,NULL,PDuns,NULL,NULL,NULL,1,1,54,4538442.0000
1993,M,Medium Vendor,PDuns,NULL,1,1,3757,29353,610,26339596610.0000
2004,M,Medium Vendor,PDuns,NULL,1,1,990,991,568,113837671.6869
2011,U,Unlabeled Vendor,Name,0,1,1,2,1,5,-125572.0898
2004,N,Sometimes Small Vendor,PID,0,1,1,1033,1033,185523,40939368037.0570
2006,M,Medium Vendor,PDuns,NULL,0,1,202,202,338,1452862.0794
1993,S,Always Small Vendor,PDuns,NULL,0,0,57,57,7,-3596929.0000
2014,S,Always Small Vendor,PDuns,0,0,1,20603,20649,47651,199229876.7500
2011,L,Large Vendor,PID,NULL,1,1,3,3,0,0.0000
2008,U,Unlabeled Vendor,Name,1,0,0,1,1,1,460.0000
2005,N,Sometimes Small Vendor,Duns,0,0,1,12,2,50,255270.1481
2002,U,Unlabeled Vendor,Name,0,1,1,7,2,6,1029853.5664
2012,N,Sometimes Small Vendor,Duns,0,1,1,4,3,138025,4541455166.9011
2005,U,Unlabeled Vendor,Name,1,1,1,38,2,162,3757928.6602
2003,M,Medium Vendor,PID,1,0,1,5,5,7,148848.0000
2008,U,Unlabeled Vendor,Duns,0,0,0,10,2,13,7204.0200
1994,S,Always Small Vendor,PDuns,NULL,1,1,15976,16298,57756,12019290316.0000
2002,J,Large: Big 5 JV,PID,0,0,0,1,1,1,-526000.0000
2007,B,Big Five,PDuns,0,1,1,7,31,935,166764827.2341
1996,N,Sometimes Small Vendor,PDuns,NULL,0,1,9,9,30,-1475486.0000
2010,N,Sometimes Small Vendor,PDuns,0,0,0,546,566,3117,2626764.4091
2010,N,Sometimes Small Vendor,Duns,0,1,1,5,4,286202,6053682760.0834
2005,B,Big Five,PDuns,0,1,1,2,16,606,184778066.8246
2015,B,Big Five,PID,0,1,1,5,5,93338,89472094259.3502
2011,N,Sometimes Small Vendor,PID,0,1,1,830,830,1273217,56859122525.4093
2006,U,Unlabeled Vendor,Duns,0,1,1,26,3,46,2524040.6040
1998,N,Sometimes Small Vendor,PDuns,NULL,0,1,11,11,24,669303.0000
2002,U,Unlabeled Vendor,Duns,0,1,1,4,2,3,1071577.7969
2012,M,Medium Vendor,PID,NULL,1,1,16,16,1,87035400.0000
2013,N,Sometimes Small Vendor,PDuns,0,0,0,322,330,2066,1539761.9300
2006,U,Unlabeled Vendor,Name,1,1,1,23,3,80,1301005.1978
2000,B,Big Five,PID,0,1,1,5,5,28740,46002974504.4967
2007,S,Always Small Vendor,PID,1,1,1,1,1,1,27367.0000
1990,B,Big Five,PDuns,NULL,1,1,5,22,NULL,272499000.0000
2013,M,Medium Vendor,Duns,NULL,1,1,2,2,2,211213.6500
2004,S,Always Small Vendor,Name,0,0,1,44,2,60,213807.8493
2007,M,Medium Vendor,PDuns,NULL,0,1,82,82,32,175412.5694
2003,N,Sometimes Small Vendor,PDuns,0,0,1,824,907,4840,36723471.1011
2000,L,Large Vendor,PDuns,0,1,1,48,287,4256,911904574.5718
2002,M,Medium Vendor,PDuns,0,0,0,922,926,1896,-3119752.0300
2003,M,Medium Vendor,PDuns,0,0,0,1866,1871,5054,1008085.8000
2004,L,Large Vendor,PDuns,0,1,1,65,528,7230,929885164.0080
2003,M,Medium Vendor,PDuns,NULL,0,1,60,60,64,583295.7304
2000,M,Medium Vendor,PID,1,1,1,50,50,575,579095324.0938
2008,S,Always Small Vendor,Name,0,0,1,1,1,1,-335.0000
2008,S,Always Small Vendor,PDuns,NULL,0,0,2545,2545,31,496252.4291
2009,L,Large Vendor,PID,NULL,1,1,2,2,0,223308.0000
2011,U,Unlabeled Vendor,Duns,0,0,0,2,2,7,-6068.0000
2003,S,Always Small Vendor,PID,0,0,1,66,66,159,1269237.4004
2002,N,Sometimes Small Vendor,Duns,0,1,1,3,3,2283,2033826541.7248
2012,S,Always Small Vendor,PID,0,1,1,259,259,32765,3703972142.5411
1994,B,Big Five,PID,NULL,1,1,5,5,7636,18817857883.0000
2000,U,Unlabeled Vendor,Duns,0,1,1,1,1,1,0.0000
1993,S,Always Small Vendor,PID,NULL,0,1,1,1,NULL,26100.0000
2007,B,Big Five,PID,0,1,1,5,5,81219,106569999340.1346
2015,M,Medium Vendor,PID,1,0,0,5,5,6,-27308.0900
2003,J,Large: Big 5 JV,PDuns,0,1,1,1,2,14,3902759.0000
2014,S,Always Small Vendor,PID,1,1,1,6,6,40,10139840.0800
2015,S,Always Small Vendor,Duns,NULL,0,0,1,1,0,0.0000
2016,N,Sometimes Small Vendor,PDuns,1,1,1,187,194,4792,392090276.2576
2007,S,Always Small Vendor,PDuns,NULL,1,1,4295,4298,165,165789907.8977
2002,M,Medium Vendor,PDuns,NULL,0,1,45,45,26,568373.9305
2007,N,Sometimes Small Vendor,PDuns,0,0,1,3066,3285,105364,105725649.2436
2002,M,Medium Vendor,PDuns,0,1,1,9296,10065,65880,14968133525.5424
2006,B,Big Five,PDuns,0,0,1,1,20,179,31539622.2067
1997,NULL,NULL,PID,NULL,NULL,NULL,1,1,11,6079744.0000
1992,S,Always Small Vendor,PDuns,NULL,0,0,99,100,1,-26411519.0000
2002,N,Sometimes Small Vendor,PDuns,0,0,1,424,454,3009,12310139.6590
2009,U,Unlabeled Vendor,Duns,0,0,0,7,3,9,-55843.8299
1997,S,Always Small Vendor,PID,NULL,0,1,11,11,11,302662.0000
2009,M,Medium Vendor,PID,1,1,1,67,67,18436,4761095476.9173
2004,M,Medium Vendor,PDuns,1,1,1,5551,5602,31949,5582385151.6136
2011,M,Medium Vendor,PDuns,1,0,1,1443,1443,5007,16608238.7941
2007,S,Always Small Vendor,PDuns,NULL,0,0,2517,2517,79,-133474.4411
1994,M,Medium Vendor,PID,NULL,0,0,1,1,2,0.0000
1991,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,26000.0000
2008,M,Medium Vendor,PID,0,0,1,23,23,51,205848.1598
2006,S,Always Small Vendor,PDuns,0,0,1,35820,36012,258751,832362285.5591
2005,S,Always Small Vendor,PDuns,NULL,0,0,4193,4194,6836,6620749.6486
2001,N,Sometimes Small Vendor,PDuns,NULL,0,0,9,9,7,17134.4000
2002,S,Always Small Vendor,PID,0,1,1,557,557,11199,5740797559.6902
2004,N,Sometimes Small Vendor,Name,1,0,1,3,1,6,33150.0000
2003,S,Always Small Vendor,Name,1,1,1,13,1,19,719075.0000
2003,L,Large Vendor,PDuns,0,0,1,3,22,391,14769253.7803
2003,U,Unlabeled Vendor,Name,NULL,0,0,1,1,1,3632.1001
2001,J,Large: Big 5 JV,PDuns,0,1,1,1,3,35,9261051.0000
2010,L,Large Vendor,PID,1,1,1,19,19,1533,5837095143.0160
1993,S,Always Small Vendor,PDuns,NULL,1,1,3353,4252,988,3741077852.0000
2014,M,Medium Vendor,PDuns,1,0,1,991,995,2194,4291019.4700
2012,L,Large Vendor,PID,1,1,1,20,20,1760,4456945491.9259
2014,M,Medium Vendor,PID,1,0,0,4,4,6,-3348.8200
1998,L,Large Vendor,PDuns,NULL,0,1,1,3,4,179024.0000
1992,N,Sometimes Small Vendor,PDuns,NULL,1,1,1460,4451,NULL,11355774058.0000
2009,M,Medium Vendor,PID,0,0,0,12,12,14,-1483471.5900
2006,L,Large Vendor,PDuns,0,0,0,1,1,2,117328.0000
1990,L,Large Vendor,PID,NULL,1,1,106,106,NULL,47689802888.0000
2004,S,Always Small Vendor,PID,NULL,0,0,9,9,5,7951.9000
2011,S,Always Small Vendor,PID,NULL,0,1,1,1,0,10346.1104
2009,L,Large Vendor,PDuns,0,0,0,1,12,174,81891677.5677
2009,S,Always Small Vendor,Duns,1,1,1,2,1,4,1336147.3750
2008,M,Medium Vendor,Duns,0,1,1,2,2,4,4860.0000
2005,U,Unlabeled Vendor,Duns,0,0,0,186,2,290,-443453.8216
1991,J,Large: Big 5 JV,PID,NULL,1,1,2,2,NULL,337699000.0000
2008,N,Sometimes Small Vendor,PDuns,0,0,1,2946,3155,64726,89473181.8923
2008,U,Unlabeled Vendor,Duns,1,0,1,36,2,45,260062.4897
1994,B,Big Five,PDuns,NULL,1,1,4,29,201,113576668.0000
2007,S,Always Small Vendor,Name,1,0,1,1,1,1,10100.0000
2011,N,Sometimes Small Vendor,PDuns,NULL,1,1,78,93,0,1790406.2111
1993,B,Big Five,PDuns,NULL,1,1,3,26,NULL,357445124.0000
2005,L,Large Vendor,PDuns,1,1,1,2,2,32,17069492.9160
2005,N,Sometimes Small Vendor,Name,1,0,1,1,1,6,27974.7007
1999,L,Large Vendor,PID,NULL,0,1,1,1,1,28160.0000
1988,M,Medium Vendor,PID,NULL,1,1,2,2,NULL,-65000.0000
2013,N,Sometimes Small Vendor,PID,1,1,1,12,12,2061,771854593.4600
2015,S,Always Small Vendor,PID,0,0,0,4,4,5,-2201.0000
1991,N,Sometimes Small Vendor,PDuns,NULL,1,1,1537,4369,NULL,15461116923.0000
2004,S,Always Small Vendor,PDuns,NULL,0,1,1673,1676,5901,22663263.4709
1992,L,Large Vendor,PDuns,NULL,1,1,32,198,NULL,814518059.0000
2009,S,Always Small Vendor,Name,0,0,1,3,1,3,4906.7500
1999,N,Sometimes Small Vendor,PID,NULL,1,1,468,468,38989,13225174769.0000
2002,S,Always Small Vendor,PDuns,NULL,0,1,35,35,26,184904.0498
2016,S,Always Small Vendor,PID,0,0,0,4,4,5,-1695.0000
2008,S,Always Small Vendor,Name,0,1,1,2,2,5,138389.8799
2008,M,Medium Vendor,PID,1,0,0,1,1,1,0.0000
2000,S,Always Small Vendor,PID,NULL,1,1,4,4,0,0.0000
2000,B,Big Five,PDuns,0,1,1,2,2,36,5383410.0000
2016,J,Large: Big 5 JV,PDuns,0,1,1,1,6,156,55990996.5178
1995,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,7045,2834896911.0000
2011,M,Medium Vendor,PDuns,NULL,0,1,27,27,2,44814.5298
2006,S,Always Small Vendor,Name,1,0,1,3,1,5,854.0000
2009,M,Medium Vendor,Duns,0,1,1,4,4,5,273479.6504
2001,S,Always Small Vendor,PID,0,1,1,537,537,9667,2606314533.7724
2007,L,Large Vendor,PDuns,1,1,1,2,9,370,23850630.5827
2003,U,Unlabeled Vendor,Name,1,0,0,67,1,109,53303.0000
2004,U,Unlabeled Vendor,Duns,0,0,0,32,2,40,66889.1601
2004,M,Medium Vendor,PID,NULL,1,1,14,14,3,26263895.3021
2000,M,Medium Vendor,PDuns,1,1,1,3737,3774,12730,3301780831.5314
2014,S,Always Small Vendor,PID,NULL,1,1,11,11,0,321690.8900
2013,N,Sometimes Small Vendor,PID,0,0,1,3,3,12,20780.8700
2004,S,Always Small Vendor,PID,0,1,1,486,486,10152,3131446499.4029
2002,L,Large Vendor,PID,0,0,0,4,4,8,-1325497.0000
2012,U,Unlabeled Vendor,Duns,0,1,1,3,2,9,111150.4900
2005,S,Always Small Vendor,PDuns,0,1,1,45074,45585,2464629,33398142173.5150
1994,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,8526,1809399553.0000
2007,S,Always Small Vendor,Duns,1,0,1,43,1,67,281604.9600
2005,U,Unlabeled Vendor,Name,0,0,1,236,2,477,2333825.0891
1995,B,Big Five,PID,NULL,1,1,6,6,8806,18604012168.0000
2002,S,Always Small Vendor,PDuns,0,0,0,4409,4416,8222,-7244928.2801
2013,B,Big Five,PID,0,1,1,5,5,74553,103830243429.3200
1995,M,Medium Vendor,PDuns,NULL,0,1,247,248,263,5823635.0000
2011,M,Medium Vendor,PDuns,0,0,0,3074,3125,5984,82310640.8950
2010,M,Medium Vendor,PDuns,NULL,1,1,1161,1170,21,299235210.3114
2014,M,Medium Vendor,PID,NULL,0,0,2,2,0,0.0000
2003,S,Always Small Vendor,PID,1,1,1,2,2,2,163620.0000
2004,M,Medium Vendor,PDuns,0,0,1,3494,3580,10567,84944810.8033
2006,N,Sometimes Small Vendor,PID,0,0,0,4,4,28,-104235.0000
2006,U,Unlabeled Vendor,Duns,0,0,1,23,2,26,81582.0201
2003,S,Always Small Vendor,Name,1,0,1,15,3,26,289595.0000
1998,N,Sometimes Small Vendor,PID,NULL,0,1,1,1,2,52103.0000
1995,L,Large Vendor,PDuns,NULL,1,1,42,176,4952,1061701112.0000
2011,M,Medium Vendor,Duns,0,0,1,1,1,1,8650.0000
2001,N,Sometimes Small Vendor,PID,0,1,1,725,725,71674,23155413555.4310
1992,M,Medium Vendor,PDuns,NULL,0,0,22,22,1,-7293296.0000
2007,N,Sometimes Small Vendor,Duns,0,0,0,2,1,9,14218.7100
2014,NULL,NULL,PID,NULL,NULL,NULL,1,1,313,155601710.6000
