"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","1205","U008","$71,249.02"
"2019","1205","U009","$375,174.70"
"2019","1205","U012","$152,029.50"
"2019","1205","U099","$456,981.13"
"2019","1205","V111","$50,000.00"
"2019","1205","V129","$150,000.00"
"2019","1205","V211","$0.00"
"2019","1205","V231","$42,765.70"
"2019","1205","V301","$20,747.07"
"2019","1205","V302","$536,281.38"
"2019","1205","V999","$1,370,059.40"
"2019","1205","W023","$54,247.01"
"2019","1205","W025","$3,795.93"
"2019","1205","W035","$24,092.00"
"2019","1205","W059","$6,670.00"
"2019","1205","W067","$3,875.28"
"2019","1205","W070","$7,839,429.56"
"2019","1205","W074","$97,872.49"
"2019","1205","X1AB","$140,704.04"
"2019","1205","X1LZ","$40,630.00"
"2019","1205","Y1AB","$3,123,905.67"
"2019","1205","Y1AZ","$127,444.10"
"2019","1205","Y1LB","$5,085.00"
"2019","1205","Z1AA","$0.00"
"2019","1205","Z1AB","$59,845.77"
"2019","1205","Z1EB","$5,034,127.00"
"2019","1205","Z2EB","$192,904.00"
"2019","12C2","1005","$888,970.40"
"2019","12C2","1095","$12,705.27"
"2019","12C2","1210","$18,935.00"
"2019","12C2","1230","$125,371.13"
"2019","12C2","1240","$19,300.00"
"2019","12C2","1250","$89,952.00"
"2019","12C2","1265","$10,265.00"
"2019","12C2","1280","$0.00"
"2019","12C2","1290","$199,239.21"
"2019","12C2","1305","$83,853.50"
"2019","12C2","1310","$54,559.28"
"2019","12C2","1367","($2,448.00)"
"2019","12C2","1370","$13,600.00"
"2019","12C2","1376","$13,557.70"
"2019","12C2","1377","$24,780.00"
"2019","12C2","1390","$168,292.00"
"2019","12C2","1395","$53,055.84"
"2019","12C2","1398","$6,995.62"
"2019","12C2","1510","$210,941.40"
"2019","12C2","1520","$103,292.50"
"2019","12C2","1560","$300,750.00"
"2019","12C2","1630","$32,329.62"
"2019","12C2","1650","$26,790.23"
"2019","12C2","1670","$805,000.81"
"2019","12C2","1680","$205,611.67"
"2019","12C2","1730","$76,972.00"
"2019","12C2","1740","$133,772.00"
"2019","12C2","1910","$94,890.00"
"2019","12C2","1935","$89,980.00"
"2019","12C2","1940","$326,291.93"
"2019","12C2","1990","$1,900.00"
"2019","12C2","2010","$7,690.30"
"2019","12C2","2090","$9,714.00"
